INDEX,MOVES,PIECE
0,O-O-O,O
1,O-O,O
2,a1h8,Q
3,a1a8,Q
4,a1g7,Q
5,a1a7,Q
6,a1f6,Q
7,a1a6,Q
8,a1e5,Q
9,a1a5,Q
10,a1d4,Q
11,a1a4,Q
12,a1c3,Q
13,a1a3,Q
14,a1b2,Q
15,a1a2,Q
16,a1h1,Q
17,a1g1,Q
18,a1f1,Q
19,a1e1,Q
20,a1d1,Q
21,a1c1,Q
22,a1b1,Q
23,b1b8,Q
24,b1h7,Q
25,b1b7,Q
26,b1g6,Q
27,b1b6,Q
28,b1f5,Q
29,b1b5,Q
30,b1e4,Q
31,b1b4,Q
32,b1d3,Q
33,b1b3,Q
34,b1c2,Q
35,b1b2,Q
36,b1a2,Q
37,b1h1,Q
38,b1g1,Q
39,b1f1,Q
40,b1e1,Q
41,b1d1,Q
42,b1c1,Q
43,b1a1,Q
44,c1c8,Q
45,c1c7,Q
46,c1h6,Q
47,c1c6,Q
48,c1g5,Q
49,c1c5,Q
50,c1f4,Q
51,c1c4,Q
52,c1e3,Q
53,c1c3,Q
54,c1a3,Q
55,c1d2,Q
56,c1c2,Q
57,c1b2,Q
58,c1h1,Q
59,c1g1,Q
60,c1f1,Q
61,c1e1,Q
62,c1d1,Q
63,c1b1,Q
64,c1a1,Q
65,d1d8,Q
66,d1d7,Q
67,d1d6,Q
68,d1h5,Q
69,d1d5,Q
70,d1g4,Q
71,d1d4,Q
72,d1a4,Q
73,d1f3,Q
74,d1d3,Q
75,d1b3,Q
76,d1e2,Q
77,d1d2,Q
78,d1c2,Q
79,d1h1,Q
80,d1g1,Q
81,d1f1,Q
82,d1e1,Q
83,d1c1,Q
84,d1b1,Q
85,d1a1,Q
86,e1e8,Q
87,e1e7,Q
88,e1e6,Q
89,e1e5,Q
90,e1a5,Q
91,e1h4,Q
92,e1e4,Q
93,e1b4,Q
94,e1g3,Q
95,e1e3,Q
96,e1c3,Q
97,e1f2,Q
98,e1e2,Q
99,e1d2,Q
100,e1h1,Q
101,e1g1,Q
102,e1f1,Q
103,e1d1,Q
104,e1c1,Q
105,e1b1,Q
106,e1a1,Q
107,f1f8,Q
108,f1f7,Q
109,f1f6,Q
110,f1a6,Q
111,f1f5,Q
112,f1b5,Q
113,f1f4,Q
114,f1c4,Q
115,f1h3,Q
116,f1f3,Q
117,f1d3,Q
118,f1g2,Q
119,f1f2,Q
120,f1e2,Q
121,f1h1,Q
122,f1g1,Q
123,f1e1,Q
124,f1d1,Q
125,f1c1,Q
126,f1b1,Q
127,f1a1,Q
128,g1g8,Q
129,g1g7,Q
130,g1a7,Q
131,g1g6,Q
132,g1b6,Q
133,g1g5,Q
134,g1c5,Q
135,g1g4,Q
136,g1d4,Q
137,g1g3,Q
138,g1e3,Q
139,g1h2,Q
140,g1g2,Q
141,g1f2,Q
142,g1h1,Q
143,g1f1,Q
144,g1e1,Q
145,g1d1,Q
146,g1c1,Q
147,g1b1,Q
148,g1a1,Q
149,h1h8,Q
150,h1a8,Q
151,h1h7,Q
152,h1b7,Q
153,h1h6,Q
154,h1c6,Q
155,h1h5,Q
156,h1d5,Q
157,h1h4,Q
158,h1e4,Q
159,h1h3,Q
160,h1f3,Q
161,h1h2,Q
162,h1g2,Q
163,h1g1,Q
164,h1f1,Q
165,h1e1,Q
166,h1d1,Q
167,h1c1,Q
168,h1b1,Q
169,h1a1,Q
170,a2g8,Q
171,a2a8,Q
172,a2f7,Q
173,a2a7,Q
174,a2e6,Q
175,a2a6,Q
176,a2d5,Q
177,a2a5,Q
178,a2c4,Q
179,a2a4,Q
180,a2b3,Q
181,a2a3,Q
182,a2h2,Q
183,a2g2,Q
184,a2f2,Q
185,a2e2,Q
186,a2d2,Q
187,a2c2,Q
188,a2b2,Q
189,a2b1,Q
190,a2a1,Q
191,b2h8,Q
192,b2b8,Q
193,b2g7,Q
194,b2b7,Q
195,b2f6,Q
196,b2b6,Q
197,b2e5,Q
198,b2b5,Q
199,b2d4,Q
200,b2b4,Q
201,b2c3,Q
202,b2b3,Q
203,b2a3,Q
204,b2h2,Q
205,b2g2,Q
206,b2f2,Q
207,b2e2,Q
208,b2d2,Q
209,b2c2,Q
210,b2a2,Q
211,b2c1,Q
212,b2b1,Q
213,b2a1,Q
214,c2c8,Q
215,c2h7,Q
216,c2c7,Q
217,c2g6,Q
218,c2c6,Q
219,c2f5,Q
220,c2c5,Q
221,c2e4,Q
222,c2c4,Q
223,c2a4,Q
224,c2d3,Q
225,c2c3,Q
226,c2b3,Q
227,c2h2,Q
228,c2g2,Q
229,c2f2,Q
230,c2e2,Q
231,c2d2,Q
232,c2b2,Q
233,c2a2,Q
234,c2d1,Q
235,c2c1,Q
236,c2b1,Q
237,d2d8,Q
238,d2d7,Q
239,d2h6,Q
240,d2d6,Q
241,d2g5,Q
242,d2d5,Q
243,d2a5,Q
244,d2f4,Q
245,d2d4,Q
246,d2b4,Q
247,d2e3,Q
248,d2d3,Q
249,d2c3,Q
250,d2h2,Q
251,d2g2,Q
252,d2f2,Q
253,d2e2,Q
254,d2c2,Q
255,d2b2,Q
256,d2a2,Q
257,d2e1,Q
258,d2d1,Q
259,d2c1,Q
260,e2e8,Q
261,e2e7,Q
262,e2e6,Q
263,e2a6,Q
264,e2h5,Q
265,e2e5,Q
266,e2b5,Q
267,e2g4,Q
268,e2e4,Q
269,e2c4,Q
270,e2f3,Q
271,e2e3,Q
272,e2d3,Q
273,e2h2,Q
274,e2g2,Q
275,e2f2,Q
276,e2d2,Q
277,e2c2,Q
278,e2b2,Q
279,e2a2,Q
280,e2f1,Q
281,e2e1,Q
282,e2d1,Q
283,f2f8,Q
284,f2f7,Q
285,f2a7,Q
286,f2f6,Q
287,f2b6,Q
288,f2f5,Q
289,f2c5,Q
290,f2h4,Q
291,f2f4,Q
292,f2d4,Q
293,f2g3,Q
294,f2f3,Q
295,f2e3,Q
296,f2h2,Q
297,f2g2,Q
298,f2e2,Q
299,f2d2,Q
300,f2c2,Q
301,f2b2,Q
302,f2a2,Q
303,f2g1,Q
304,f2f1,Q
305,f2e1,Q
306,g2g8,Q
307,g2a8,Q
308,g2g7,Q
309,g2b7,Q
310,g2g6,Q
311,g2c6,Q
312,g2g5,Q
313,g2d5,Q
314,g2g4,Q
315,g2e4,Q
316,g2h3,Q
317,g2g3,Q
318,g2f3,Q
319,g2h2,Q
320,g2f2,Q
321,g2e2,Q
322,g2d2,Q
323,g2c2,Q
324,g2b2,Q
325,g2a2,Q
326,g2h1,Q
327,g2g1,Q
328,g2f1,Q
329,h2h8,Q
330,h2b8,Q
331,h2h7,Q
332,h2c7,Q
333,h2h6,Q
334,h2d6,Q
335,h2h5,Q
336,h2e5,Q
337,h2h4,Q
338,h2f4,Q
339,h2h3,Q
340,h2g3,Q
341,h2g2,Q
342,h2f2,Q
343,h2e2,Q
344,h2d2,Q
345,h2c2,Q
346,h2b2,Q
347,h2a2,Q
348,h2h1,Q
349,h2g1,Q
350,a3f8,Q
351,a3a8,Q
352,a3e7,Q
353,a3a7,Q
354,a3d6,Q
355,a3a6,Q
356,a3c5,Q
357,a3a5,Q
358,a3b4,Q
359,a3a4,Q
360,a3h3,Q
361,a3g3,Q
362,a3f3,Q
363,a3e3,Q
364,a3d3,Q
365,a3c3,Q
366,a3b3,Q
367,a3b2,Q
368,a3a2,Q
369,a3c1,Q
370,a3a1,Q
371,b3g8,Q
372,b3b8,Q
373,b3f7,Q
374,b3b7,Q
375,b3e6,Q
376,b3b6,Q
377,b3d5,Q
378,b3b5,Q
379,b3c4,Q
380,b3b4,Q
381,b3a4,Q
382,b3h3,Q
383,b3g3,Q
384,b3f3,Q
385,b3e3,Q
386,b3d3,Q
387,b3c3,Q
388,b3a3,Q
389,b3c2,Q
390,b3b2,Q
391,b3a2,Q
392,b3d1,Q
393,b3b1,Q
394,c3h8,Q
395,c3c8,Q
396,c3g7,Q
397,c3c7,Q
398,c3f6,Q
399,c3c6,Q
400,c3e5,Q
401,c3c5,Q
402,c3a5,Q
403,c3d4,Q
404,c3c4,Q
405,c3b4,Q
406,c3h3,Q
407,c3g3,Q
408,c3f3,Q
409,c3e3,Q
410,c3d3,Q
411,c3b3,Q
412,c3a3,Q
413,c3d2,Q
414,c3c2,Q
415,c3b2,Q
416,c3e1,Q
417,c3c1,Q
418,c3a1,Q
419,d3d8,Q
420,d3h7,Q
421,d3d7,Q
422,d3g6,Q
423,d3d6,Q
424,d3a6,Q
425,d3f5,Q
426,d3d5,Q
427,d3b5,Q
428,d3e4,Q
429,d3d4,Q
430,d3c4,Q
431,d3h3,Q
432,d3g3,Q
433,d3f3,Q
434,d3e3,Q
435,d3c3,Q
436,d3b3,Q
437,d3a3,Q
438,d3e2,Q
439,d3d2,Q
440,d3c2,Q
441,d3f1,Q
442,d3d1,Q
443,d3b1,Q
444,e3e8,Q
445,e3e7,Q
446,e3a7,Q
447,e3h6,Q
448,e3e6,Q
449,e3b6,Q
450,e3g5,Q
451,e3e5,Q
452,e3c5,Q
453,e3f4,Q
454,e3e4,Q
455,e3d4,Q
456,e3h3,Q
457,e3g3,Q
458,e3f3,Q
459,e3d3,Q
460,e3c3,Q
461,e3b3,Q
462,e3a3,Q
463,e3f2,Q
464,e3e2,Q
465,e3d2,Q
466,e3g1,Q
467,e3e1,Q
468,e3c1,Q
469,f3f8,Q
470,f3a8,Q
471,f3f7,Q
472,f3b7,Q
473,f3f6,Q
474,f3c6,Q
475,f3h5,Q
476,f3f5,Q
477,f3d5,Q
478,f3g4,Q
479,f3f4,Q
480,f3e4,Q
481,f3h3,Q
482,f3g3,Q
483,f3e3,Q
484,f3d3,Q
485,f3c3,Q
486,f3b3,Q
487,f3a3,Q
488,f3g2,Q
489,f3f2,Q
490,f3e2,Q
491,f3h1,Q
492,f3f1,Q
493,f3d1,Q
494,g3g8,Q
495,g3b8,Q
496,g3g7,Q
497,g3c7,Q
498,g3g6,Q
499,g3d6,Q
500,g3g5,Q
501,g3e5,Q
502,g3h4,Q
503,g3g4,Q
504,g3f4,Q
505,g3h3,Q
506,g3f3,Q
507,g3e3,Q
508,g3d3,Q
