MY_COLOR,IN_FEN,OUT_FORMAT,OUT_STANDARD
WHITE,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,e2e4
WHITE,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,b1c3,b1c3
WHITE,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,g2g3,g2g3
WHITE,r1bqkbnr/pppp1p1p/2n3p1/4p3/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq - 0 4,f1g2,f1g2
WHITE,r1bqk1nr/pppp1pbp/2n3p1/4p3/4P3/2N3P1/PPPP1PBP/R1BQK1NR w KQkq - 2 5,g1e2,g1e2
WHITE,r1bqk2r/ppppnpbp/2n3p1/4p3/4P3/2N3P1/PPPPNPBP/R1BQK2R w KQkq - 4 6,O-O,e1g1
WHITE,r1bq1rk1/ppppnpbp/2n3p1/4p3/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 w - - 6 7,d2d3,d2d3
WHITE,r1bq1rk1/ppp1npbp/2np2p1/4p3/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 w - - 0 8,h2h3,h2h3
WHITE,r1bq1rk1/ppp1npb1/2np2pp/4p3/4P3/2NP2PP/PPP1NPB1/R1BQ1RK1 w - - 0 9,c1e3,c1e3
WHITE,r2q1rk1/ppp1npb1/2npb1pp/4p3/4P3/2NPB1PP/PPP1NPB1/R2Q1RK1 w - - 2 10,d1d2,d1d2
WHITE,r4rk1/pppqnpb1/2npb1pp/4p3/4P3/2NPB1PP/PPPQNPB1/R4RK1 w - - 4 11,g1h2,g1h2
WHITE,r4r2/pppqnpbk/2npb1pp/4p3/4P3/2NPB1PP/PPPQNPBK/R4R2 w - - 6 12,c3d5,c3d5
WHITE,r4r2/pppqnpbk/3pb1pp/3Np3/3nP3/3PB1PP/PPPQNPBK/R4R2 w - - 8 13,d5e7,d5e7
WHITE,r4r2/ppp1qpbk/3pb1pp/4p3/3nP3/3PB1PP/PPPQNPBK/R4R2 w - - 0 14,c2c3,c2c3
WHITE,r4r2/ppp1qpbk/3pb1pp/4p3/4P3/2PPB1PP/PP1QnPBK/R4R2 w - - 0 15,d2e2,d2e2
WHITE,r4r2/pp2qpbk/2ppb1pp/4p3/4P3/2PPB1PP/PP2QPBK/R4R2 w - - 0 16,f2f4,f2f4
WHITE,r4r2/pp2q1bk/2ppb1pp/4pp2/4PP2/2PPB1PP/PP2Q1BK/R4R2 w - - 0 17,a1e1,a1e1
WHITE,r4r2/1p2q1bk/p1ppb1pp/4pp2/4PP2/2PPB1PP/PP2Q1BK/4RR2 w - - 0 18,f4e5,f4e5
WHITE,r4r2/1p2q1bk/p1p1b1pp/4pp2/4P3/2PPB1PP/PP2Q1BK/4RR2 w - - 0 19,e4f5,e4f5
WHITE,r4r2/1p2q1bk/p1p3pp/4pb2/8/2PPB1PP/PP2Q1BK/4RR2 w - - 0 20,g3g4,g3g4
WHITE,r4r2/1p2q1bk/p1p1b1pp/4p3/6P1/2PPB2P/PP2Q1BK/4RR2 w - - 1 21,c3c4,c3c4
WHITE,3r1r2/1p2q1bk/p1p1b1pp/4p3/2P3P1/3PB2P/PP2Q1BK/4RR2 w - - 1 22,g2e4,g2e4
WHITE,3r1r2/1p2qbbk/p1p3pp/4p3/2P1B1P1/3PB2P/PP2Q2K/4RR2 w - - 3 23,b2b3,b2b3
WHITE,3r1r2/1p3bbk/p1p3pp/4p3/2P1B1Pq/1P1PB2P/P3Q2K/4RR2 w - - 1 24,e3f2,e3f2
WHITE,3r1r2/1p3bbk/p1p3pp/4p1q1/2P1B1P1/1P1P3P/P3QB1K/4RR2 w - - 3 25,f2c5,f2c5
WHITE,3r1r2/1p4bk/p1p1b1pp/2B1p1q1/2P1B1P1/1P1P3P/P3Q2K/4RR2 w - - 5 26,c5f8,c5f8
WHITE,5r2/1p4bk/p1p1b1pp/4p1q1/2P1B1P1/1P1P3P/P3Q2K/4RR2 w - - 0 27,f1f8,f1f8
WHITE,5b2/1p5k/p1p1b1pp/4p1q1/2P1B1P1/1P1P3P/P3Q2K/4R3 w - - 0 28,e2f2,e2f2
WHITE,8/1p2b2k/p1p1b1pp/4p1q1/2P1B1P1/1P1P3P/P4Q1K/4R3 w - - 2 29,e1f1,e1f1
WHITE,8/1p2b2k/p1p1b1p1/4p1qp/2P1B1P1/1P1P3P/P4Q1K/5R2 w - - 0 30,g4h5,g4h5
WHITE,8/1p2b2k/p1p1b1p1/4p2q/2P1B3/1P1P3P/P4Q1K/5R2 w - - 0 31,f2f3,f2f3
WHITE,8/1p2b2k/p1p1b1p1/4p1q1/2P1B3/1P1P1Q1P/P6K/5R2 w - - 2 32,f1g1,f1g1
WHITE,8/1p2b2k/p1p1b1p1/4p3/2P1Bq2/1P1P1Q1P/P6K/6R1 w - - 4 33,f3f4,f3f4
WHITE,8/1p2b2k/p1p1b1p1/8/2P1Bp2/1P1P3P/P6K/6R1 w - - 0 34,g1g6,g1g6
WHITE,8/1p2b2k/p1p1b1R1/8/2P1B3/1P1P1p1P/P6K/8 w - - 0 35,g6e6,g6e6
WHITE,6k1/1p2b3/p1p1R3/8/2P1B3/1P1P1p1P/P6K/8 w - - 1 36,e6e7,e6e7
BLACK,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,g8f6,g8f6
BLACK,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,b7b6,b7b6
BLACK,rnbqkb1r/p1pppppp/1p3n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,c8b7,c8b7
BLACK,rn1qkb1r/pbpppppp/1p3n2/8/2PP4/2N2P2/PP2P1PP/R1BQKBNR b KQkq - 0 4,e7e6,e7e6
BLACK,rn1qkb1r/pbpp1ppp/1p2pn2/8/2PPP3/2N2P2/PP4PP/R1BQKBNR b KQkq - 0 5,d7d5,d7d5
BLACK,rn1qkb1r/pbp2ppp/1p2pn2/3pP3/2PP4/2N2P2/PP4PP/R1BQKBNR b KQkq - 0 6,f6d7,f6d7
BLACK,rn1qkb1r/pbpn1ppp/1p2p3/3PP3/3P4/2N2P2/PP4PP/R1BQKBNR b KQkq - 0 7,e6d5,e6d5
BLACK,rn1qkb1r/pbpn1ppp/1p6/3pP3/3P4/2NB1P2/PP4PP/R1BQK1NR b KQkq - 1 8,c7c5,c7c5
BLACK,rn1qkb1r/pb1n1ppp/1p6/2PpP3/8/2NB1P2/PP4PP/R1BQK1NR b KQkq - 0 9,f8c5,f8c5
BLACK,rn1qk2r/pb1n1ppp/1p6/2bpP3/8/2NB1P2/PP2Q1PP/R1B1K1NR b KQkq - 1 10,b8c6,b8c6
BLACK,r2qk2r/pb1n1ppp/1pn5/2bpP3/5P2/2NB4/PP2Q1PP/R1B1K1NR b KQkq - 0 11,c6d4,c6d4
BLACK,r2qk2r/pb1n1ppp/1p6/2bpP3/3n1PQ1/2NB4/PP4PP/R1B1K1NR b KQkq - 2 12,d8e7,d8e7
BLACK,r3k2r/pb1nqppp/1p6/2bpP3/3n1PQ1/2NB4/PP2N1PP/R1B1K2R b KQkq - 4 13,d4e2,d4e2
BLACK,r3k2r/pb1nqppp/1p6/2bpP3/5PQ1/3B4/PP2N1PP/R1B1K2R b KQkq - 0 14,c5b4,c5b4
BLACK,r3k2r/pb1nqppp/1p6/3pP3/1b3PQ1/3B4/PP2N1PP/R1B2K1R b kq - 2 15,O-O,e8g8
BLACK,r4rk1/pb1nqppp/1p6/3pP3/1b3PQ1/P2B4/1P2N1PP/R1B2K1R b - - 0 16,f7f6,f7f6
BLACK,r4rk1/pb1nq1pp/1p3p2/3pP3/1P3PQ1/3B4/1P2N1PP/R1B2K1R b - - 0 17,f6e5,f6e5
BLACK,r4rk1/pb1nq1pp/1p6/3ppB2/1P3PQ1/8/1P2N1PP/R1B2K1R b - - 1 18,d7f6,d7f6
BLACK,r4rk1/pb2q1pp/1p3n2/3ppB2/1P3P2/7Q/1P2N1PP/R1B2K1R b - - 3 19,g7g6,g7g6
BLACK,r4rk1/pb2q2p/1p2Bnp1/3pp3/1P3P2/7Q/1P2N1PP/R1B2K1R b - - 1 20,g8h8,g8h8
BLACK,r4r1k/pb2q2p/1p2Bnp1/3ppP2/1P6/7Q/1P2N1PP/R1B2K1R b - - 0 21,f6e4,f6e4
BLACK,r4r1k/pb2q2p/1p2B1p1/3ppP2/1P2n3/7Q/1P2N1PP/R1B3KR b - - 2 22,e7b4,e7b4
BLACK,r4r1k/pb5p/1p2B1pB/3ppP2/1q2n3/7Q/1P2N1PP/R5KR b - - 1 23,b4b2,b4b2
BLACK,r4r1k/pb5p/1p2B1pB/3ppP2/4n3/7Q/1q2N1PP/4R1KR b - - 1 24,b2b4,b2b4
